iter	RMSE
0	8.815712904
1	8.554041659
2	8.345474008
3	8.099010832
4	7.859891079
5	7.641485174
6	7.449327713
7	7.247267971
8	7.046544213
9	6.862901963
10	6.658395483
11	6.475476802
12	6.306795488
13	6.146104669
14	5.961003278
15	5.800769731
16	5.658167344
17	5.508989577
18	5.402690786
19	5.283205161
20	5.161282655
21	5.038470974
22	4.934781758
23	4.816146379
24	4.721325079
25	4.621193758
26	4.526312926
27	4.436832218
28	4.351470011
29	4.286989804
30	4.204982425
31	4.123314428
32	4.035148941
33	3.967957654
34	3.912352901
35	3.852857469
36	3.798828152
37	3.743033383
38	3.69147508
39	3.628080798
40	3.576351315
41	3.524180987
42	3.486487791
43	3.442112874
44	3.393264311
45	3.345786356
46	3.300365613
47	3.25868561
48	3.207862276
49	3.175185211
50	3.135626002
51	3.092737555
52	3.063066622
53	3.034501338
54	3.004267974
55	2.974136249
56	2.950364672
57	2.925385746
58	2.896854794
59	2.859612124
60	2.835265917
61	2.811863415
62	2.792096698
63	2.770232262
64	2.749150105
65	2.72608274
66	2.701837341
67	2.677455829
68	2.658017291
69	2.636237607
70	2.612937185
71	2.594533656
72	2.574400358
73	2.557521966
74	2.539079409
75	2.525045213
76	2.507858388
77	2.49371975
78	2.478857114
79	2.459632964
80	2.440004711
81	2.423580233
82	2.416123542
83	2.406708205
84	2.388354848
85	2.369951004
86	2.360238892
87	2.349434981
88	2.335973078
89	2.320401271
90	2.306829966
91	2.293606611
92	2.281522682
93	2.267164795
94	2.254950405
95	2.243754175
96	2.233733506
97	2.220439274
98	2.211003655
99	2.201088368
100	2.192391914
101	2.179674066
102	2.167048133
103	2.155360102
104	2.142558273
105	2.132964765
106	2.125204935
107	2.115422118
108	2.102618791
109	2.092102595
110	2.081812592
111	2.068771014
112	2.058102788
113	2.044771359
114	2.035355974
115	2.025753546
116	2.017161393
117	2.00934104
118	2.000867643
119	1.990964071
120	1.984526559
121	1.976725694
122	1.968728876
123	1.956826366
124	1.950878683
125	1.939980146
126	1.929665506
127	1.92031639
128	1.911910792
129	1.900647997
130	1.895429732
131	1.887195296
132	1.877118019
133	1.868947143
134	1.862640863
135	1.856057004
136	1.849265884
137	1.84206946
138	1.834200592
139	1.828332992
140	1.81944694
141	1.813762303
142	1.804275064
143	1.796884745
144	1.78733871
145	1.781894911
146	1.778820473
147	1.773247363
148	1.767504071
149	1.759418472
150	1.753920156
151	1.745284325
152	1.738941491
153	1.733701037
154	1.728769042
155	1.721027098
156	1.716572384
157	1.706876623
158	1.700440279
159	1.692468265
160	1.686565364
161	1.676197581
162	1.666007595
163	1.660930439
164	1.654013691
165	1.645731989
166	1.636495343
167	1.629737818
168	1.620150359
169	1.612513117
170	1.607754352
171	1.599564388
172	1.59357216
173	1.589799919
174	1.583506392
175	1.572984516
176	1.56429691
177	1.558217647
178	1.555097583
179	1.548164904
180	1.541501788
181	1.534989133
182	1.530041219
183	1.527169283
184	1.519832045
185	1.514495224
186	1.506102494
187	1.503191514
188	1.497299176
189	1.488149076
190	1.485556943
191	1.481707279
192	1.475345952
193	1.467183984
194	1.461129889
195	1.456500238
196	1.451163326
197	1.446443878
198	1.440280994
199	1.435945314
200	1.431555121
201	1.426042239
202	1.419711916
203	1.414612989
204	1.410672496
205	1.406777586
206	1.401853776
207	1.398244898
208	1.394847642
209	1.387985724
210	1.383944503
211	1.380693498
212	1.376765244
213	1.372345523
214	1.36846333
215	1.366510115
216	1.360787205
217	1.357930729
218	1.353837777
219	1.352401325
220	1.346023933
221	1.342863987
222	1.339233198
223	1.335250712
224	1.330665172
225	1.329075983
226	1.327716252
227	1.324102239
228	1.322322474
229	1.318856291
230	1.314115439
231	1.31221772
232	1.307888474
233	1.301760994
234	1.299969592
235	1.293887007
236	1.286850388
237	1.279926027
238	1.275245428
239	1.273090103
240	1.271390405
241	1.269743853
242	1.263162789
243	1.258965185
244	1.255136444
245	1.249533812
246	1.246690588
247	1.24510984
248	1.242538252
249	1.236645516
250	1.233340433
251	1.227586904
252	1.225242206
253	1.22084092
254	1.219263312
255	1.21808233
256	1.216664128
257	1.213520063
258	1.206394207
259	1.203898209
260	1.198590218
261	1.194456669
262	1.190821705
263	1.184602925
264	1.178486987
265	1.171170716
266	1.169754662
267	1.164543536
268	1.159956502
269	1.157178273
270	1.151735501
271	1.150177255
272	1.1489022
273	1.147251974
274	1.14346679
275	1.140515734
276	1.135463822
277	1.128948641
278	1.127423015
279	1.124580411
280	1.120328455
281	1.115648021
282	1.11150681
283	1.109347698
284	1.103365617
285	1.10194507
286	1.097004016
287	1.093640741
288	1.091083608
289	1.089854412
290	1.088276945
291	1.084151962
292	1.080062129
293	1.078918373
294	1.073664602
295	1.070406533
296	1.06932705
297	1.064624134
298	1.060828424
299	1.058198905
300	1.053645694
301	1.052337382
302	1.049118562
303	1.048075315
304	1.047007198
305	1.042721208
306	1.041314785
307	1.037435815
308	1.03401736
309	1.030519166
310	1.026308355
311	1.021380466
312	1.017185755
313	1.016228857
314	1.011917136
315	1.011499385
316	1.007295261
317	1.00237149
318	0.9988169972
319	0.9955635815
320	0.9920285089
321	0.9879459166
322	0.9837197134
323	0.9788416592
324	0.9768108489
325	0.9753434822
326	0.9717823747
327	0.9708948356
328	0.9675747029
329	0.9667355263
330	0.9629638632
331	0.9588361114
332	0.9571745133
333	0.9537088065
334	0.9518839373
335	0.9472224987
336	0.9454996451
337	0.9422915648
338	0.937539143
339	0.9342329098
340	0.931150542
341	0.928029549
342	0.9238317599
343	0.9226730295
344	0.9212959129
345	0.9171446618
346	0.9136927777
347	0.9106067917
348	0.9065014715
349	0.9032758677
350	0.899926611
351	0.8974600988
352	0.8951651563
353	0.8944127746
354	0.893623186
355	0.8929940605
356	0.8899189502
357	0.8877289635
358	0.8852004263
359	0.880966056
360	0.8803351379
361	0.8768706079
362	0.874402486
363	0.8712191497
364	0.8706524349
365	0.8677156337
366	0.8635574816
367	0.8611029524
368	0.8568437126
369	0.8527511252
370	0.852235753
371	0.8486067359
372	0.8450787724
373	0.8434265805
374	0.8406248301
375	0.837737135
376	0.8368535995
377	0.8357337847
378	0.8351920595
379	0.8325099922
380	0.831987841
381	0.8288783607
382	0.8277025547
383	0.8244729866
384	0.8224441851
385	0.8199765023
386	0.8172708877
387	0.8156497846
388	0.8139428963
389	0.8106442921
390	0.8093974873
391	0.8055837518
392	0.8034446882
393	0.7998548466
394	0.7952941569
395	0.7947116036
396	0.7924445823
397	0.7894815915
398	0.7867395226
399	0.7861445895
400	0.7841542496
401	0.7816383813
402	0.7782783656
403	0.7773106817
404	0.7749261817
405	0.7720477726
406	0.7691528252
407	0.7680776013
408	0.7648747297
409	0.7630095232
410	0.7607238057
411	0.7590192574
412	0.7579837242
413	0.7563782156
414	0.7546480334
415	0.7525101695
416	0.7510663736
417	0.7483598598
418	0.7458970761
419	0.7436650477
420	0.7404274505
421	0.7388415845
422	0.7383195151
423	0.7357184705
424	0.7326839182
425	0.731157373
426	0.7283291736
427	0.7246056858
428	0.7226062205
429	0.7209635231
430	0.7180374406
431	0.7162859937
432	0.7135251887
433	0.7111226803
434	0.7078375457
435	0.7051081662
436	0.7032478909
437	0.7015150994
438	0.7003043872
439	0.6973984532
440	0.6950072445
441	0.6928462055
442	0.691626479
443	0.6895867409
444	0.688165528
445	0.6858727312
446	0.6830063607
447	0.6802851449
448	0.6785903192
449	0.6762664201
450	0.6737595041
451	0.6719976242
452	0.671075397
453	0.6690629268
454	0.6668192781
455	0.6639638837
456	0.6618857352
457	0.6586334678
458	0.6566360377
459	0.6554916184
460	0.654014867
461	0.6524709664
462	0.6497636618
463	0.6473070998
464	0.6444305676
465	0.6420407712
466	0.6413129406
467	0.6389135251
468	0.6363027935
469	0.6348527063
470	0.6328730629
471	0.6306098791
472	0.6286026467
473	0.6259073446
474	0.6237333048
475	0.622560048
476	0.6211690564
477	0.6193055412
478	0.6175517536
479	0.6157924682
480	0.6135847197
481	0.6122356882
482	0.6105964226
483	0.6091696142
484	0.6072089126
485	0.6051510747
486	0.601972611
487	0.6010940802
488	0.6002291633
489	0.5979463987
490	0.5958853203
491	0.5952274547
492	0.5931835712
493	0.5913688452
494	0.5905271118
495	0.5888911029
496	0.5863441763
497	0.5841107213
498	0.5836652105
499	0.5831666495
500	0.5826427956
501	0.5808185357
502	0.5783645304
503	0.5772245885
504	0.5767707486
505	0.5749003434
506	0.5728233211
507	0.5711911998
508	0.570143226
509	0.5697085348
510	0.5679116459
511	0.5675002613
512	0.5653605861
513	0.5638116559
514	0.5628442071
515	0.5611940983
516	0.5599735809
517	0.5586044795
518	0.556859493
519	0.5555485333
520	0.554363954
521	0.5532258442
522	0.551359459
523	0.5488888265
524	0.5473461698
525	0.5458113835
526	0.544347139
527	0.5421944818
528	0.5398323459
529	0.5380988925
530	0.5370796383
531	0.5358020759
532	0.5344638089
533	0.5325394948
534	0.5313553436
535	0.5300235705
536	0.5283475363
537	0.5270036096
538	0.5254959274
539	0.5242090988
540	0.5235920297
541	0.5217465324
542	0.521465446
543	0.5200590384
544	0.5183596411
545	0.5175958226
546	0.5151750962
547	0.5126708982
548	0.5111022584
549	0.509892783
550	0.5085018577
551	0.5066514269
552	0.5042704571
553	0.5024954478
554	0.5012157331
555	0.5001026327
556	0.4989597142
557	0.4972473511
558	0.4956544739
559	0.494130411
560	0.4930267799
561	0.4916988678
562	0.4907984112
563	0.4889456736
564	0.4868243545
565	0.4864752057
566	0.4854991786
567	0.4835890045
568	0.4820771329
569	0.4813478031
570	0.4802692035
571	0.4797211799
572	0.4792205979
573	0.4781677517
574	0.4767157153
575	0.4761994939
576	0.47574182
577	0.4750131019
578	0.4742410855
579	0.4736265791
580	0.4724103777
581	0.4715517868
582	0.4704969372
583	0.4694979462
584	0.4687788558
585	0.4677940464
586	0.46640511
587	0.4658400134
588	0.4648484045
589	0.4635822924
590	0.462349217
591	0.4617063086
592	0.460091481
593	0.4596183205
594	0.4587707614
595	0.4579280498
596	0.4571651749
597	0.4561180473
598	0.4553492379
599	0.4540546773
600	0.4530028239
601	0.4518641645
602	0.4514201404
603	0.450924095
604	0.4494200872
605	0.448620762
606	0.4476269942
607	0.4469228567
608	0.4457949801
609	0.4451142257
610	0.4442891197
611	0.4437435172
612	0.4428567715
613	0.4419585481
614	0.4413849824
615	0.4401797513
616	0.4390159193
617	0.4382766448
618	0.4369053742
619	0.4353148848
620	0.4344988158
621	0.4337695918
622	0.4331783806
623	0.4322885998
624	0.4309164552
625	0.4302676914
626	0.4292002314
627	0.4279901311
628	0.4262884169
629	0.424941489
630	0.4240472078
631	0.4229842276
632	0.4221739437
633	0.4212270487
634	0.4195656658
635	0.4189807502
636	0.4180196474
637	0.4173702691
638	0.4166259063
639	0.4162137804
640	0.4155764251
641	0.4142016922
642	0.4128803795
643	0.4123547336
644	0.4116302158
645	0.4108156096
646	0.4096185841
647	0.4088492373
648	0.4085938333
